,VideoID,Title,Description,View_Count,Like_Count,Dislike_Count,Favorite_Count,Comment_Count,Duration,Definition
0,K26_sDKnvMU,Toy Story (1995),Trailer for Toy Story (1995) captured from the The Santa Clause (1994) VHS tape. This tape is labeled 3633 and released in (1994).,102790,99,12,0,13,PT1M31S,sd
1,rEnOoWs3FuA,Grumpier Old Men (1995),"The more things change, the more they stay the same in Wabasha, Minnesota. The uncatchable fish named Catfish Hunter grows fatter. The wisecracks, zingers and put downs pile up like freshly raked leaves. And GRUMPY OLD MEN become grumpier in the sequel that's ""pure delight, a wonderfully warmhearted comedy"" (David Sheehan, CBS-TV). Grabbing fishing rods and picking up where they left off, JACK LEMMON and WALTER MATTHAU reel in another comedy winner as GRUMPIER OLD MEN. ANN-MARGRET, DARYL HANNAH, KEVIN POLLACK and BURGESS MEREDITH also return to the Land of 10,000 Lakes to reprise their roles. And SOPHIA LOREN is the newcomer whose plan to turn the town's beloved bait shop into a ristorante sends the old boys into a tizzy. Be advised: a tizzy is very contagious. Get ready to laugh. And stay tuned for the outtakes, including ""man-sized manicotti!"" ""Better, funnier and even grumpier than the original.""  - Joel Siegel, GOOD MORNING AMERICA/ABC-TV (c) 1995 Warner Bros. All Rights Reserved MPAA Rating: PG-13  (c) 1995 Warner Bros. All Rights Reserved #Trailer #WB",164820,218,8,0,12,PT1M51S,sd
2,2GfZl4kuVNI,Heat (1995),"Director: Michael Mann.
Cast: Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore
Plot: A Los Angeles crime saga, ""Heat"" focuses on the lives of two men on opposite sides of the law - one a detective; the other a thief.",1083869,5445,162,0,524,PT2M28S,hd
3,-C-xXZyX2zU,Tom and Huck (1995),A preview for this 90s disney movie. From the Aristocats opening. Thanks to videos4everybody.,168310,176,17,0,83,PT1M,sd
4,lcOqUE0u1LM,GoldenEye (1995),"Release Date: November 13, 1995

Pierce Brosnan ignites the screen in his first adventure as the unstoppable James Bond. When a powerful satellite system falls into the hands of a former ally-turned-enemy, only 007 can save the world from an awesome space weapon that - in one short pulse - could destroy the earth!

Cast: Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Gottfried John, Alan Cumming, Tcheky Karyo, Desmond Llewelyn, Samantha Bond, Ravil Isyanov

Studio: Metro-Goldwyn-Mayer
Director: Martin Campbell
Screenwriter: Michael France, Jeffrey Caine, Kevin Wade, Bruce Feirstein
Genre: Action, Crime, Thriller

Official Website: http://www.007.com / https://www.facebook.com/JamesBond007",208230,968,33,0,100,PT2M52S,hd
5,UrC75wUKoFM,"American President, The (1995)","Subscribe to MovieTrailersByVD: http://bit.ly/QcNd7j
More clips, photos, and news: http://bit.ly/Udr8d9

Follow Videodetective.com on facebook http://www.facebook.com/VideoDetective
Follow Videodetective.com on twitter http://twitter.com/VideoDetective

Subscribe to GameTrailersByVD: http://bit.ly/RNaDlR
Subscribe to TVPromosByVD: http://bit.ly/Plupqf
Subscribe to MusicVideosByVD: http://bit.ly/Te5RuH

Director: Rob Reiner
Cast: Annette Bening, David Paymer, Martin Sheen, Michael Douglas, Michael J. Fox, Samantha Mathis
Studio: Sony Pictures Home Entertainment
Rating: PG-13",12353,18,2,0,1,PT2M50S,sd
6,a6lGULmQdb0,Balto (1995),Balto 1,1213374,2453,334,0,1045,PT2M13S,sd
7,dO2LWKpeyI8,Nixon (1995),"One of the best film trailers of all time, this was the original theatrical trailer for one of the greatest political dramas of all time, Oliver Stone's 1995 classic NIXON, starring Anthony Hopkins and Joan Allen.",261985,723,25,0,215,PT4M33S,sd
8,EJXDMwGWhoA,Casino (1995),"Casino movie clips: http://j.mp/1JbOasm
BUY THE MOVIE: http://amzn.to/u3En6F
Don't miss the HOTTEST NEW TRAILERS: http://bit.ly/1u2y6pr

CLIP DESCRIPTION:
Sam Rothstein (Robert De Niro) fights his old friend Nicky (Joe Pesci) and his wife Ginger (Sharon Stone) for control of his Las Vegas empire.

FILM DESCRIPTION:
The inner-workings of a corrupt Las Vegas casino are exposed in Martin Scorsese's story of crime and punishment. The film chronicles the lives and times of three characters: ""Ace"" Rothstein (Robert De Niro), a bookmaking wizard; Nicky Santoro (Joe Pesci), a Mafia underboss and longtime best friend to Ace; and Ginger McKenna (Sharon Stone, in a role she was born to play), a leggy ex-prostitute with a fondness for jewelry and a penchant for playing the field. Ace plays by the rules (albeit Vegas rules, which, as he reminds the audience in voiceover, would make him a criminal in any other state), while Nicky and Ginger lie, cheat, and steal their respective ways to the top. The film's first hour and a half details their rise to power, while the second half follows their downfall as the FBI, corrupt government officials, and angry mob bosses pick apart their Camelot piece by piece.

CREDITS:
TM & © Universal (1995)
Cast: Robert De Niro, Alan King, Joe Pesci, James Woods, Sharon Stone
Director: Martin Scorsese
Producers: Barbara De Fina, Joseph P. Reidy
Screenwriters: Nicholas Pileggi, Martin Scorsese

WHO ARE WE?
The MOVIECLIPS channel is the largest collection of licensed movie clips on the web. Here you will find unforgettable moments, scenes and lines from all your favorite films. Made by movie fans, for movie fans.

SUBSCRIBE TO OUR MOVIE CHANNELS:
MOVIECLIPS: http://bit.ly/1u2yaWd
ComingSoon: http://bit.ly/1DVpgtR
Indie & Film Festivals: http://bit.ly/1wbkfYg
Hero Central: http://bit.ly/1AMUZwv
Extras: http://bit.ly/1u431fr
Classic Trailers: http://bit.ly/1u43jDe
Pop-Up Trailers: http://bit.ly/1z7EtZR
Movie News: http://bit.ly/1C3Ncd2
Movie Games: http://bit.ly/1ygDV13
Fandango: http://bit.ly/1Bl79ye
Fandango FrontRunners: http://bit.ly/1CggQfC

HIT US UP:
Facebook: http://on.fb.me/1y8M8ax
Twitter: http://bit.ly/1ghOWmt
Pinterest: http://bit.ly/14wL9De
Tumblr: http://bit.ly/1vUwhH7",1967375,6879,187,0,627,PT3M3S,hd
9,DfqPjRMsRP0,Ace Ventura: When Nature Calls (1995),"Africa's the place and Ace is on the case, setting out to rescue an animal he loathes: a bat! Jim Carrey (Batman Forever) returns as Ace, the alligator-wrasslin', elephant-calling, monkeyshining, loogie-launching, burning coals-crossing, disguise-mastering pet detective. If you're ready to laugh like a pack of hyenas, if you want more fun than an industrial-sized barrel of monkeys, you know what to do. Heed the call.",57234,127,6,0,2,PT1M59S,sd
10,yNLaTtpovys,Get Shorty (1995),"Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Like us on FACEBOOK: http://goo.gl/dHs73
Follow us on TWITTER: http://bit.ly/1ghOWmt

Get Shorty Trailer - Chili Palmer (John Travolta), a loan shark, visits Hollywood to collect a debt and gets into the movie business. Based on a novel by Elmore Leonard. Also starring Gene Hackman Danny DeVito and Rene Russo

MGM - 1995",299361,721,36,0,59,PT2M35S,hd
11,lsmXhM4yfU0,Copycat (1995),"Trailer for director Jon Amiel's film starring Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",339855,390,17,0,121,PT2M1S,sd
12,OOTTvrb4JZI,Assassins (1995),"Director: Richard Donner
Cast:Sylvester Stallone, Antonio Banderas,Julianne Moore.
Plot: Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But, as things go, it ain't so easy. A younger, peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain.",168851,271,15,0,35,PT2M42S,hd
13,gHl-UHu2-lM,Powder (1995),"Project for Independent Study. Assignment was to make trailers for films and to put them into different genres.
Big thanks to Kevin Macleod for the music.",128800,336,26,0,50,PT4M3S,sd
14,UMlYWZgCIgo,Leaving Las Vegas (1995),Trailer for Mike Figgis's film,726573,774,53,0,200,PT2M1S,sd
15,RQLVzTtt2Ws,Now and Then (1995),"Now and Then (1995) Official Trailer 1 - Christina Ricci, Rosie O'Donnell Movie HD
Subscribe to CLASSIC TRAILERS: http://bit.ly/1u43jDe
Subscribe to TRAILERS: http://bit.ly/sxaw6h
Subscribe to COMING SOON: http://bit.ly/H2vZUn
Like us on FACEBOOK: http://bit.ly/1QyRMsE
Follow us on TWITTER: http://bit.ly/1ghOWmt

Roberta, Teeny, Samantha and Chrissy have been busy growing up, but they always remembered the promise they made to be there for each other. Now they're together again to relive the greatest summer of their lives.

Welcome to the Fandango MOVIECLIPS Trailer Vault Channel. Where trailers from the past, from recent to long ago, from a time before YouTube, can be enjoyed by all. We search near and far for original movie trailer from all decades. Feel free to send us your trailer requests and we will do our best to hunt it down.",592646,5724,80,0,421,PT2M42S,hd
16,lYSHAyODiGs,Persuasion (1995),"Persuasion Trailer 1995
Director: Roger Michell
Starring: Ciaran Hinds, Amanda Root, Sophie Thompson, Susan Fleetwood,  ,  

Official Content From Sony Pictures Home Entertainment

Eight years after her wealthy family forced her to break up with the man she loves, a mousy woman follows her heart when she gets a second chance with her true love. Based on a novel by Jane Austen.

Movie, Persuasion Movie,Persuasion Trailer,Persuasion 1995, Roger Michell,Ciaran Hinds, Amanda Root, Sophie Thompson, Susan Fleetwood,  ,",158434,263,13,0,43,PT1M24S,sd
17,toH1vzAmDBI,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Cité des enfants perdus - City of Lost Children trailer,80357,103,4,0,14,PT1M15S,sd
18,mQf3Ngg2cks,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Shanghai Triad Trailer 1995
Director: Zhang Yimou
Starring: Gong Li, Li Xuejian, Li Baotian, Sun Chun, Wang Xiaoxiao, Jiang Baoying

Official Content From Sony Pictures Home Entertainment

The charms of an alluring prostitute are used as bait by feuding gang lords. Highly acclaimed, sumptuous production from multi-award winning director Zhang Yimou. In Mandarin with English subtitles.

Movie, Shanghai Triad Movie,Shanghai Triad Trailer,Shanghai Triad 1995, Zhang Yimou,Gong Li, Li Xuejian, Li Baotian, Sun Chun, Wang Xiaoxiao, Jiang Baoying",35978,123,5,0,9,PT2M14S,sd
19,gA-5nLQCmW8,Dangerous Minds (1995),"Dangerous Minds Trailer - 1995  Check out red-evidz on youtube
Ghetto school drama with Michelle Pfeiffer playing the role of school teacher to a class of street misfits...  Supported by a great R&B/Gangster rap soundtrack.",1131766,4563,139,0,413,PT1M57S,sd
